Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
Germany,2021,Cancer,Autoimmune,6.54,8.37,7.06,548270.0,91.74,2.81,8.22,72.1,0.08,30.0
UK,2022,Cancer,Viral,14.49,1.51,2.25,93066.0,94.17,4.3,6.21,51.44,7.18,42.94
Turkey,2020,Diabetes,Neurological,17.07,13.86,9.32,724614.0,68.44,0.97,5.69,55.96,6.33,45.13
Australia,2022,Asthma,Chronic,2.85,12.08,3.22,192491.0,67.71,1.16,2.17,79.04,6.62,42.81
South Africa,2024,Hypertension,Neurological,9.21,5.49,1.62,760200.0,79.47,3.23,1.88,52.95,5.89,76.78
Australia,2023,Cancer,Viral,16.03,13.97,5.22,432351.0,60.29,3.39,3.69,69.25,3.95,82.73
Australia,2023,Cancer,Autoimmune,8.43,0.82,8.53,437958.0,77.36,3.33,3.53,95.37,6.04,65.15
Indonesia,2021,Cancer,Parasitic,3.46,0.28,5.73,622295.0,95.46,4.88,8.46,81.82,8.95,76.67
Italy,2020,Hypertension,Cardiovascular,15.8,6.08,0.98,911720.0,82.68,1.65,8.06,51.45,5.11,70.35
Brazil,2021,Asthma,Metabolic,4.3,6.99,2.7,947295.0,74.24,3.58,3.64,50.85,4.42,61.03
Saudi Arabia,2021,Cancer,Infectious,13.95,3.62,7.77,298209.0,93.94,2.07,5.6,82.9,4.76,40.76
Argentina,2020,Cancer,Infectious,18.67,9.55,3.68,242312.0,96.22,4.0,8.17,79.94,1.03,44.88
India,2021,Diabetes,Genetic,5.76,7.16,5.31,815542.0,66.92,4.44,3.81,81.24,9.04,77.23
Germany,2023,Cancer,Respiratory,3.01,11.05,0.11,457359.0,64.05,3.64,5.14,56.87,4.58,32.37
Italy,2021,Diabetes,Viral,7.62,8.64,2.12,328654.0,60.86,4.36,6.41,72.6,3.32,59.88
Canada,2020,Asthma,Cardiovascular,14.16,9.28,7.9,116294.0,94.35,3.86,5.04,65.35,6.97,81.17
Turkey,2021,Asthma,Respiratory,8.28,6.22,9.93,649327.0,94.66,4.3,2.22,84.42,0.8,62.1
Brazil,2020,Diabetes,Infectious,0.63,2.66,4.74,956237.0,69.56,2.38,8.93,66.84,3.36,53.61
Indonesia,2021,Hypertension,Infectious,6.42,5.52,9.99,501463.0,86.54,4.76,8.72,94.91,1.96,34.16
Saudi Arabia,2020,Diabetes,Genetic,1.83,7.47,7.76,83710.0,81.84,4.68,5.57,72.47,5.62,21.56
India,2024,Asthma,Metabolic,15.1,6.94,9.1,661616.0,59.91,4.13,6.0,91.84,9.26,29.79
Saudi Arabia,2022,Asthma,Neurological,7.83,7.24,0.5,694273.0,66.78,4.34,6.97,85.47,2.12,73.05
France,2022,Diabetes,Viral,16.58,1.88,1.66,187238.0,74.11,3.93,1.79,83.01,3.16,77.29
Indonesia,2020,Cancer,Infectious,18.35,2.09,6.7,175104.0,82.82,0.67,8.0,74.8,7.32,75.91
Mexico,2022,Asthma,Autoimmune,8.75,5.53,1.06,633172.0,98.04,0.78,5.78,66.21,2.65,66.53
Argentina,2023,Hypertension,Autoimmune,10.13,7.46,0.99,980964.0,85.32,4.62,2.7,70.55,6.48,80.41
South Korea,2021,Diabetes,Neurological,19.42,8.71,9.01,628019.0,66.69,2.03,3.1,80.51,9.82,75.32
Australia,2023,Diabetes,Autoimmune,7.28,14.47,2.26,970885.0,74.01,3.65,5.12,72.61,4.5,83.49
Argentina,2022,Diabetes,Viral,5.47,4.13,9.31,255874.0,50.16,1.45,9.22,92.16,3.04,34.36
France,2020,Cancer,Genetic,2.05,2.5,1.13,267492.0,82.62,2.88,2.24,88.76,9.14,81.23
USA,2021,Cancer,Neurological,17.17,4.14,7.74,70869.0,68.97,3.8,5.1,98.56,1.09,39.99
South Africa,2020,Cancer,Bacterial,5.89,7.32,6.83,727262.0,75.71,1.28,4.28,58.05,6.96,82.06
France,2020,Hypertension,Metabolic,10.14,10.06,2.82,573256.0,84.47,1.53,4.55,78.92,5.26,30.03
France,2023,Hypertension,Bacterial,3.99,4.27,5.46,512588.0,68.38,1.25,7.94,71.75,9.37,56.5
Russia,2020,Cancer,Bacterial,8.99,13.91,1.4,538261.0,92.33,1.01,1.9,78.9,4.41,64.83
Russia,2020,Hypertension,Autoimmune,4.72,14.64,4.35,177971.0,63.47,3.01,9.5,79.52,3.4,35.0
Indonesia,2023,Asthma,Chronic,14.62,7.5,1.69,781418.0,73.71,4.04,4.84,64.0,5.98,82.27
South Africa,2022,Diabetes,Viral,15.87,4.71,0.74,446827.0,66.39,4.44,9.92,61.8,5.06,46.79
Nigeria,2021,Cancer,Cardiovascular,14.68,2.72,4.67,31973.0,52.26,4.51,1.45,78.67,6.34,59.1
Russia,2023,Cancer,Chronic,10.26,6.83,7.64,87905.0,66.75,0.53,6.31,69.17,4.62,53.55
France,2023,Hypertension,Cardiovascular,4.21,13.12,4.49,715732.0,53.86,1.75,9.96,72.93,6.63,49.98
China,2023,Asthma,Bacterial,13.85,2.24,7.23,85615.0,93.91,0.58,0.52,60.06,7.74,85.55
China,2021,Diabetes,Respiratory,15.05,4.21,1.36,305417.0,74.54,3.16,6.32,91.22,2.82,33.57
UK,2023,Cancer,Autoimmune,6.71,7.49,6.63,979798.0,52.98,2.58,2.62,87.82,2.5,66.67
Japan,2024,Diabetes,Neurological,11.73,4.97,4.23,820551.0,65.63,1.86,4.04,74.44,9.1,51.47
Mexico,2023,Diabetes,Viral,19.82,0.61,2.25,767629.0,58.7,2.87,6.67,50.8,1.79,39.58
Saudi Arabia,2024,Cancer,Cardiovascular,15.1,12.0,0.71,156355.0,56.34,2.53,6.61,89.97,4.07,32.89
India,2021,Cancer,Chronic,7.6,0.37,3.12,928614.0,94.71,2.66,4.13,85.2,8.77,60.65
Turkey,2023,Diabetes,Autoimmune,7.44,11.15,4.06,118963.0,70.81,1.65,4.46,72.6,6.2,39.5
Mexico,2024,Diabetes,Metabolic,3.26,6.59,7.39,318485.0,86.7,1.56,9.45,97.83,8.26,88.94
South Korea,2020,Diabetes,Autoimmune,7.3,8.06,3.93,196744.0,81.93,4.83,7.75,51.48,6.26,31.99
USA,2021,Cancer,Viral,13.09,5.44,0.29,454836.0,81.37,3.26,6.58,68.27,6.0,44.33
USA,2020,Cancer,Parasitic,16.06,5.74,6.68,372403.0,63.36,2.11,5.85,69.96,3.36,52.69
Mexico,2022,Cancer,Chronic,12.67,9.39,8.89,854269.0,55.01,4.39,9.24,54.05,2.5,27.89
India,2023,Cancer,Neurological,8.04,7.07,4.16,982313.0,91.27,1.6,8.18,91.0,6.75,66.74
Australia,2022,Cancer,Metabolic,8.1,1.74,4.64,7042.0,63.08,3.51,5.26,79.02,1.0,79.11
China,2020,Asthma,Respiratory,0.27,4.7,9.92,527782.0,84.04,1.96,9.07,77.54,5.94,82.07
USA,2023,Hypertension,Cardiovascular,0.17,8.98,6.24,602941.0,61.63,2.3,5.92,58.24,6.71,78.16
Mexico,2020,Hypertension,Infectious,4.4,6.43,9.69,149361.0,56.4,4.18,3.92,82.13,5.62,27.16
USA,2023,Hypertension,Metabolic,18.75,0.67,6.77,420917.0,61.69,3.07,2.15,95.01,2.61,52.58
Saudi Arabia,2022,Asthma,Bacterial,13.91,12.36,1.43,471812.0,55.0,3.9,0.68,88.16,3.04,37.68
China,2020,Cancer,Chronic,1.54,11.09,8.23,285682.0,53.21,2.44,6.33,81.52,3.98,29.16
Russia,2023,Asthma,Infectious,1.5,12.16,2.82,893021.0,93.87,0.92,9.37,66.52,3.15,61.51
France,2021,Cancer,Bacterial,16.48,6.73,2.42,200505.0,60.78,4.03,9.27,57.4,4.08,37.23
Australia,2023,Hypertension,Parasitic,2.77,2.06,1.67,925604.0,95.43,1.55,8.29,56.78,1.79,69.42
Nigeria,2020,Asthma,Respiratory,3.29,6.61,2.16,825059.0,93.45,3.81,1.8,79.39,4.1,68.7
India,2020,Hypertension,Metabolic,9.08,11.23,9.73,171251.0,61.81,0.69,8.05,92.07,8.49,31.35
Argentina,2022,Hypertension,Respiratory,16.69,5.96,2.33,642429.0,82.25,0.61,0.96,66.11,4.1,25.51
Australia,2023,Hypertension,Neurological,14.13,14.99,2.31,553463.0,81.01,0.69,0.74,73.62,3.59,30.59
Russia,2023,Hypertension,Chronic,6.85,1.78,2.94,400520.0,50.45,2.55,4.71,74.17,8.79,69.21
Australia,2022,Asthma,Chronic,1.18,10.7,7.75,142951.0,89.7,3.73,1.81,59.67,3.63,23.45
Brazil,2022,Hypertension,Autoimmune,9.38,5.88,2.62,665103.0,73.05,2.2,9.99,60.92,3.43,73.54
South Korea,2022,Diabetes,Neurological,0.35,11.07,5.92,414199.0,78.72,3.79,5.94,61.19,4.72,78.91
Mexico,2024,Asthma,Viral,9.85,9.25,5.41,17741.0,90.35,0.91,5.84,70.29,6.55,27.32
Russia,2021,Asthma,Cardiovascular,1.76,11.56,0.58,859097.0,80.75,1.62,4.48,94.91,7.95,35.02
UK,2021,Asthma,Chronic,12.65,10.6,3.27,921668.0,81.72,0.7,7.07,50.17,5.62,34.68
South Korea,2020,Cancer,Viral,16.76,10.51,2.48,533695.0,68.06,3.62,6.05,86.82,0.35,60.05
Canada,2024,Cancer,Neurological,3.3,4.61,6.69,837997.0,93.62,4.18,4.66,68.58,4.05,85.06
France,2022,Hypertension,Parasitic,1.62,14.48,1.83,954085.0,50.78,2.63,7.99,59.99,9.85,34.03
India,2024,Asthma,Cardiovascular,15.29,13.73,3.8,815616.0,68.86,3.12,1.24,92.79,7.31,44.9
China,2024,Diabetes,Genetic,15.99,0.33,6.48,565596.0,97.35,2.97,8.17,51.28,3.21,26.98
Australia,2024,Cancer,Bacterial,0.4,3.29,4.67,996456.0,54.19,1.21,4.66,95.79,2.57,48.8
Russia,2024,Cancer,Bacterial,12.56,0.49,8.2,24270.0,65.23,1.24,4.47,77.32,5.31,37.61
Germany,2023,Hypertension,Metabolic,16.39,12.7,1.62,937882.0,58.73,2.89,3.92,57.73,5.41,24.62
Indonesia,2023,Hypertension,Neurological,8.89,12.9,3.15,500497.0,78.47,1.31,9.79,96.18,2.19,51.97
South Africa,2021,Asthma,Cardiovascular,6.47,6.38,7.0,264082.0,66.33,1.16,1.76,51.73,4.05,50.3
Germany,2023,Hypertension,Bacterial,3.45,2.57,2.66,762651.0,60.73,4.48,9.33,67.89,7.74,89.82
India,2022,Diabetes,Metabolic,10.87,5.78,8.59,252219.0,89.44,2.79,2.33,90.52,5.27,84.17
South Korea,2023,Cancer,Infectious,6.66,1.98,0.61,467112.0,92.3,3.03,5.73,71.84,0.8,38.51
Germany,2020,Asthma,Viral,11.63,7.68,2.82,469446.0,87.35,2.55,2.8,91.22,3.57,57.37
Brazil,2023,Hypertension,Metabolic,12.3,3.63,5.58,618115.0,81.06,3.49,1.84,94.89,3.25,68.7
France,2023,Cancer,Autoimmune,4.48,14.59,1.41,841273.0,59.78,1.16,4.84,61.32,3.31,74.56
Russia,2023,Diabetes,Autoimmune,14.18,3.07,4.06,862348.0,53.97,2.0,0.62,70.9,2.44,76.28
UK,2022,Asthma,Neurological,12.88,1.62,8.64,463638.0,63.18,4.98,8.17,55.17,2.49,36.34
USA,2022,Cancer,Cardiovascular,10.9,7.98,6.0,905835.0,57.78,0.69,6.91,96.52,1.17,87.12
Germany,2024,Hypertension,Bacterial,12.68,10.85,2.93,663531.0,76.46,2.76,1.3,94.82,5.47,35.84
Argentina,2024,Asthma,Respiratory,19.51,6.34,7.65,783866.0,73.2,3.64,4.38,66.18,1.57,63.64
France,2024,Asthma,Chronic,15.35,8.73,1.53,906690.0,60.36,1.07,0.98,50.43,0.45,56.47
UK,2024,Cancer,Chronic,16.99,0.7,3.48,768327.0,61.83,1.21,7.21,50.47,4.92,54.14
Russia,2023,Hypertension,Respiratory,7.73,2.6,0.63,805050.0,52.78,4.37,3.85,84.72,9.98,78.32
UK,2022,Hypertension,Metabolic,13.65,2.86,7.61,8085.0,60.79,4.73,0.51,92.62,7.93,41.36
South Africa,2024,Asthma,Metabolic,7.62,6.54,1.14,904689.0,90.46,3.81,5.68,67.43,0.81,59.93
India,2022,Hypertension,Bacterial,6.31,0.91,6.21,479031.0,78.76,4.64,7.61,83.46,8.7,84.93
Russia,2020,Asthma,Parasitic,11.22,10.12,9.18,908532.0,70.51,3.3,0.73,68.64,3.61,64.98
Italy,2022,Hypertension,Parasitic,14.72,5.0,9.81,848517.0,56.96,0.67,4.85,60.46,0.39,89.05
Argentina,2023,Asthma,Infectious,10.42,1.97,8.21,11585.0,89.43,2.25,7.23,50.54,8.62,72.89
Australia,2024,Diabetes,Cardiovascular,8.39,3.52,3.22,478169.0,93.92,1.97,5.45,86.72,0.82,45.34
Australia,2021,Diabetes,Neurological,1.21,12.31,7.38,443116.0,69.35,1.98,6.87,79.32,5.79,75.11
Mexico,2021,Cancer,Cardiovascular,17.17,12.59,7.54,150851.0,64.33,0.57,9.9,96.8,2.07,26.71
USA,2023,Diabetes,Respiratory,19.53,12.5,3.54,277261.0,68.05,4.61,2.67,93.95,6.76,51.91
Italy,2023,Asthma,Cardiovascular,13.13,5.38,7.41,785138.0,65.68,3.7,7.05,60.64,1.56,69.08
Turkey,2024,Diabetes,Bacterial,18.09,5.17,9.86,829509.0,63.97,0.52,1.63,83.99,2.42,30.62
Canada,2022,Cancer,Neurological,7.44,5.12,5.09,450756.0,92.08,2.83,2.43,66.59,5.97,31.6
Mexico,2022,Diabetes,Parasitic,5.8,0.83,8.58,621264.0,63.29,4.04,6.62,83.19,5.55,31.56
China,2022,Cancer,Parasitic,0.83,5.66,5.84,744741.0,53.29,1.82,3.41,86.41,1.9,54.92
Indonesia,2021,Asthma,Viral,19.22,3.71,3.0,274127.0,76.36,4.66,8.8,77.86,1.9,20.14
USA,2021,Asthma,Metabolic,18.69,12.91,2.04,874089.0,74.13,3.36,2.15,67.91,5.47,37.42
Turkey,2024,Hypertension,Infectious,1.0,7.24,7.57,316092.0,90.73,2.58,1.28,71.37,7.99,83.21
USA,2020,Cancer,Neurological,10.42,7.62,4.95,638425.0,79.29,4.47,5.61,70.31,8.69,77.98
Canada,2020,Asthma,Viral,16.64,12.28,7.37,164800.0,70.93,3.77,9.04,97.32,7.39,59.4
Russia,2021,Diabetes,Genetic,19.49,2.87,5.9,179487.0,93.16,2.76,4.74,54.39,1.07,52.71
Argentina,2022,Diabetes,Genetic,8.53,4.69,4.21,516774.0,72.9,3.62,1.69,77.55,7.94,36.39
India,2024,Asthma,Metabolic,7.88,11.75,1.12,803924.0,76.01,1.38,9.43,78.08,0.27,61.45
Saudi Arabia,2024,Diabetes,Autoimmune,18.23,8.42,6.97,732677.0,92.59,4.34,2.67,69.75,5.43,37.4
USA,2023,Asthma,Bacterial,8.21,11.61,9.94,134034.0,51.68,2.03,7.64,70.5,0.13,32.76
Germany,2021,Asthma,Cardiovascular,9.28,11.64,6.19,677067.0,85.8,3.89,8.22,64.53,1.37,41.79
Brazil,2024,Diabetes,Parasitic,7.61,14.48,6.55,575727.0,77.39,3.3,7.13,93.52,4.84,76.97
France,2020,Diabetes,Cardiovascular,17.16,5.93,7.19,390935.0,77.61,4.16,8.52,73.44,8.24,31.71
Canada,2020,Asthma,Infectious,8.56,2.83,5.9,255803.0,73.22,1.67,0.9,52.1,9.53,70.22
South Africa,2021,Hypertension,Viral,18.18,5.42,3.44,521373.0,88.81,3.29,5.33,61.91,1.44,61.76
Nigeria,2023,Diabetes,Infectious,4.94,7.86,6.37,249787.0,85.25,2.86,4.42,51.52,5.29,59.19
Brazil,2021,Asthma,Viral,9.24,5.24,2.18,336411.0,79.18,2.24,3.93,89.19,0.09,85.43
France,2021,Cancer,Cardiovascular,5.85,2.12,0.6,36368.0,65.01,4.57,4.9,76.98,7.57,28.22
Mexico,2022,Cancer,Chronic,2.68,13.37,4.79,288066.0,86.98,1.24,9.01,89.84,7.3,24.73
Turkey,2021,Hypertension,Cardiovascular,13.71,12.77,0.47,812471.0,97.13,0.64,1.51,95.98,7.34,71.4
India,2024,Cancer,Autoimmune,18.99,14.03,8.62,196645.0,64.51,1.71,1.62,60.92,6.04,70.05
Turkey,2022,Diabetes,Autoimmune,8.17,14.49,4.02,671781.0,78.62,3.15,4.99,82.63,7.53,82.61
Canada,2024,Hypertension,Cardiovascular,3.0,3.9,1.06,610148.0,50.2,4.37,1.2,89.36,1.45,22.14
India,2023,Cancer,Autoimmune,19.99,13.99,1.54,678053.0,95.84,1.13,3.12,76.79,4.0,59.82
India,2024,Diabetes,Chronic,17.91,9.85,0.18,807657.0,91.07,1.97,3.54,94.78,5.8,20.89
Canada,2022,Asthma,Bacterial,3.11,2.34,3.9,207948.0,91.75,0.93,4.28,78.58,5.12,67.9
Turkey,2022,Asthma,Bacterial,18.84,11.42,6.76,574595.0,80.54,3.42,4.22,70.06,9.56,47.44
Saudi Arabia,2023,Asthma,Genetic,18.98,8.99,8.67,57558.0,63.59,2.16,6.57,93.48,9.73,64.71
UK,2023,Hypertension,Respiratory,19.34,12.74,4.71,478788.0,75.09,2.64,6.25,85.12,5.89,60.18
India,2020,Hypertension,Infectious,3.54,4.33,5.53,304574.0,55.86,1.64,8.4,71.72,7.21,21.16
Germany,2021,Hypertension,Metabolic,12.92,2.14,5.62,728142.0,81.33,1.01,3.79,63.41,5.32,57.67
Argentina,2024,Hypertension,Viral,13.39,6.13,6.99,891450.0,95.3,3.17,4.22,65.83,7.35,81.97
India,2023,Cancer,Chronic,17.11,5.23,8.95,823407.0,91.82,3.22,1.7,51.87,4.01,82.95
South Africa,2020,Asthma,Autoimmune,7.02,3.95,1.29,189383.0,74.79,2.15,8.26,89.75,4.9,48.03
Russia,2021,Cancer,Infectious,3.88,2.17,9.43,947428.0,59.47,2.2,0.57,81.98,2.44,51.22
Japan,2023,Diabetes,Neurological,2.96,9.2,4.29,509428.0,90.76,0.65,5.17,70.83,0.64,32.02
Canada,2020,Diabetes,Metabolic,1.86,0.69,8.0,319293.0,77.69,1.82,3.22,67.41,9.51,42.03
Italy,2023,Hypertension,Chronic,6.83,14.03,1.5,481532.0,81.82,1.51,3.52,66.99,7.94,77.83
Mexico,2021,Hypertension,Autoimmune,8.24,0.28,7.35,28193.0,63.16,4.36,5.98,78.52,3.87,54.49
South Korea,2022,Diabetes,Respiratory,14.48,10.33,2.91,528434.0,82.11,1.3,5.7,58.68,7.2,69.63
Japan,2024,Diabetes,Chronic,8.64,11.9,8.14,797441.0,91.43,1.24,1.64,74.01,3.9,69.28
Germany,2022,Diabetes,Autoimmune,7.07,12.76,3.46,37485.0,77.9,2.94,7.98,51.89,6.09,25.44
Turkey,2024,Diabetes,Respiratory,6.85,4.32,0.9,595129.0,91.68,4.83,2.5,66.69,4.82,83.45
UK,2024,Cancer,Autoimmune,2.51,14.51,2.69,77445.0,92.5,3.89,4.29,61.85,8.66,57.83
Brazil,2020,Cancer,Parasitic,12.88,8.37,8.88,273181.0,89.99,3.01,7.99,65.46,6.68,59.79
Canada,2020,Hypertension,Metabolic,14.45,6.43,4.96,379018.0,76.01,4.14,9.36,59.08,8.67,28.22
Saudi Arabia,2020,Cancer,Respiratory,4.22,10.13,1.23,528511.0,98.43,4.93,4.63,59.33,4.12,59.89
Mexico,2021,Diabetes,Neurological,7.21,5.36,9.06,885224.0,70.55,1.03,5.36,57.77,6.29,27.15
UK,2023,Cancer,Autoimmune,14.13,11.43,8.37,339995.0,80.74,4.94,4.5,62.43,0.49,85.85
China,2022,Cancer,Genetic,18.63,5.44,9.3,185492.0,83.53,3.81,8.19,76.66,0.37,67.99
China,2024,Cancer,Genetic,4.4,7.43,6.03,688842.0,58.51,2.37,2.93,54.54,9.32,72.43
Saudi Arabia,2024,Diabetes,Parasitic,12.69,13.41,4.33,205197.0,97.67,2.12,2.74,58.44,6.13,32.91
Nigeria,2024,Cancer,Infectious,0.6,11.19,9.85,502744.0,75.94,4.27,8.25,83.04,3.19,23.98
Saudi Arabia,2024,Hypertension,Genetic,16.95,2.55,5.32,257949.0,82.84,0.79,9.99,96.49,6.93,51.14
Indonesia,2023,Hypertension,Neurological,1.61,1.8,0.65,213085.0,78.14,3.51,7.01,85.03,1.45,86.18
Saudi Arabia,2023,Asthma,Genetic,18.09,3.73,4.35,832580.0,89.68,4.97,2.78,65.9,3.57,25.62
Japan,2024,Asthma,Genetic,18.93,11.91,6.84,441214.0,86.55,1.01,9.83,61.57,9.73,32.42
Russia,2022,Hypertension,Metabolic,12.02,4.07,6.44,685725.0,99.6,3.86,9.03,61.15,9.62,75.26
Japan,2021,Asthma,Cardiovascular,10.16,0.36,8.88,638695.0,64.27,4.01,5.07,83.8,5.93,66.95
UK,2024,Diabetes,Cardiovascular,3.7,2.61,2.1,622901.0,56.58,4.5,2.33,57.87,9.98,68.03
Mexico,2021,Asthma,Autoimmune,14.95,12.76,2.41,231916.0,70.32,1.43,6.21,57.81,1.04,28.16
France,2020,Hypertension,Cardiovascular,12.48,6.41,6.99,141598.0,52.7,3.08,9.07,72.07,0.6,40.73
South Korea,2022,Cancer,Parasitic,8.72,12.8,5.61,318079.0,76.72,1.39,5.31,90.35,0.79,33.41
Mexico,2024,Diabetes,Respiratory,17.5,5.38,1.03,336057.0,75.5,4.7,0.94,90.61,8.6,42.34
Nigeria,2023,Hypertension,Infectious,5.52,1.06,0.78,72117.0,62.4,4.55,7.82,58.77,3.41,53.78
Argentina,2024,Cancer,Infectious,3.81,3.03,2.38,110346.0,57.61,3.97,1.85,79.14,9.12,38.58
Italy,2020,Cancer,Viral,12.48,14.77,0.95,593102.0,98.38,0.51,8.46,51.21,3.03,28.64
Japan,2021,Hypertension,Neurological,7.09,13.34,7.28,578284.0,66.4,4.69,4.88,52.26,3.28,66.95
Mexico,2024,Hypertension,Cardiovascular,11.47,4.21,1.31,698568.0,73.82,4.19,7.11,86.47,3.33,67.29
Indonesia,2022,Cancer,Respiratory,6.83,10.51,8.0,758624.0,65.56,4.27,8.57,67.48,8.4,29.05
Mexico,2021,Cancer,Infectious,10.73,4.65,0.19,576206.0,69.81,1.09,8.03,98.79,3.35,60.32
Indonesia,2023,Cancer,Bacterial,10.38,7.71,3.6,584785.0,98.72,2.76,1.51,77.45,2.3,82.29
France,2020,Asthma,Autoimmune,6.9,3.32,7.84,972854.0,53.17,3.48,8.51,77.2,3.6,22.54
UK,2022,Diabetes,Infectious,2.78,9.38,7.11,899010.0,95.19,3.82,1.35,97.84,5.91,65.6
China,2022,Asthma,Autoimmune,15.98,1.68,5.85,825390.0,70.93,4.44,3.49,67.79,4.97,46.31
Canada,2021,Hypertension,Cardiovascular,18.23,13.69,8.02,41802.0,86.38,1.91,7.19,70.67,1.35,50.55
Nigeria,2024,Hypertension,Cardiovascular,12.85,7.27,2.07,380081.0,74.95,4.75,2.91,67.06,7.1,24.0
Saudi Arabia,2020,Asthma,Chronic,12.01,3.49,4.38,334111.0,69.69,0.52,1.87,50.26,9.45,46.91
Australia,2022,Hypertension,Autoimmune,18.29,8.96,0.6,372761.0,69.32,1.53,7.43,61.22,0.32,86.51
Argentina,2020,Diabetes,Bacterial,13.11,5.2,3.09,976425.0,63.2,3.2,3.99,90.8,1.09,74.77
Brazil,2020,Hypertension,Respiratory,5.27,6.82,6.3,750279.0,64.66,1.72,1.3,83.97,5.77,20.48
Nigeria,2022,Hypertension,Autoimmune,7.59,10.61,4.49,226584.0,55.5,3.46,1.63,74.05,7.24,85.21
Germany,2023,Asthma,Genetic,7.48,10.71,0.44,36041.0,86.25,0.55,4.38,83.67,1.35,32.12
Germany,2024,Asthma,Chronic,18.62,13.19,2.64,811324.0,62.47,3.36,8.34,55.73,9.87,28.52
Saudi Arabia,2023,Asthma,Metabolic,2.17,8.18,5.81,81772.0,55.66,1.38,2.24,57.32,1.83,21.79
Germany,2020,Asthma,Viral,1.8,7.85,3.29,463230.0,99.24,3.21,2.34,77.52,2.72,39.38
Brazil,2020,Hypertension,Metabolic,6.23,7.73,0.83,983578.0,56.04,4.65,9.82,71.38,4.87,47.1
China,2021,Hypertension,Chronic,2.78,11.22,9.07,297392.0,64.42,3.2,0.52,89.47,2.44,56.43
Italy,2023,Diabetes,Neurological,19.59,4.71,4.72,759999.0,85.86,2.74,8.57,77.63,8.28,47.84
Italy,2023,Hypertension,Bacterial,12.23,11.63,4.19,854847.0,50.81,1.39,3.24,68.77,3.84,38.77
France,2021,Cancer,Chronic,13.21,0.29,6.46,382846.0,77.0,4.77,8.03,90.99,5.29,40.01
India,2023,Diabetes,Genetic,17.98,4.78,2.65,627216.0,60.68,2.04,7.42,84.8,1.07,82.89
Turkey,2023,Diabetes,Bacterial,10.55,6.29,6.37,622355.0,59.4,0.7,2.03,51.89,1.82,49.0
France,2020,Hypertension,Metabolic,0.2,13.11,1.95,766742.0,77.5,3.42,6.67,89.0,0.78,55.64
Canada,2023,Diabetes,Parasitic,15.0,6.7,4.15,41578.0,74.66,4.29,2.45,69.27,1.78,63.43
Nigeria,2021,Asthma,Neurological,17.71,5.66,2.08,119767.0,75.99,4.46,4.97,79.59,8.9,46.4
Mexico,2020,Cancer,Parasitic,16.91,6.2,4.35,484821.0,92.46,1.16,1.83,54.06,3.9,47.84
Italy,2023,Diabetes,Chronic,6.27,8.66,0.56,796360.0,61.13,1.93,4.16,66.41,3.36,50.06
Japan,2023,Hypertension,Infectious,15.81,2.19,8.9,340554.0,61.42,1.22,9.76,83.5,4.29,42.03
USA,2020,Diabetes,Autoimmune,11.04,6.83,4.68,116625.0,96.14,3.09,6.93,65.02,5.93,64.03
Italy,2021,Hypertension,Genetic,7.2,1.97,0.26,726515.0,82.4,2.03,6.45,94.01,9.01,25.4
Canada,2022,Diabetes,Bacterial,0.97,5.84,3.06,382761.0,81.82,1.68,8.88,77.0,8.62,27.09
Australia,2020,Diabetes,Cardiovascular,17.56,11.87,0.22,244410.0,87.52,1.94,7.57,82.43,8.52,80.27
Canada,2022,Hypertension,Genetic,15.98,8.14,6.34,324931.0,52.71,1.82,9.46,59.64,9.04,61.24
China,2023,Diabetes,Neurological,2.64,8.24,6.9,788571.0,56.52,3.88,5.45,88.02,7.28,66.04
China,2024,Asthma,Infectious,3.47,6.0,5.82,914695.0,97.73,4.45,9.46,92.29,4.09,75.81
South Korea,2020,Asthma,Genetic,19.99,6.86,9.86,4086.0,66.28,3.21,0.54,88.34,1.57,35.36
Mexico,2024,Asthma,Genetic,13.84,13.73,3.05,998097.0,68.22,1.54,5.53,58.76,4.65,52.99
South Africa,2020,Diabetes,Cardiovascular,0.71,13.09,8.0,527926.0,89.29,2.91,9.03,97.26,2.36,77.88
Turkey,2023,Cancer,Cardiovascular,9.68,11.55,4.88,870042.0,91.15,0.96,3.63,51.82,6.59,86.47
South Korea,2020,Hypertension,Neurological,16.33,0.82,9.45,174315.0,65.98,4.86,3.14,79.89,1.01,38.89
Canada,2022,Hypertension,Viral,0.45,6.06,0.54,156913.0,81.37,3.75,3.09,79.38,9.19,66.24
USA,2023,Hypertension,Genetic,14.15,1.01,2.52,31161.0,57.01,4.34,3.28,97.38,7.71,69.07
China,2020,Diabetes,Genetic,7.62,6.63,1.91,177437.0,75.11,2.14,5.13,85.85,2.07,84.39
South Africa,2022,Diabetes,Autoimmune,5.94,5.96,1.96,180560.0,92.26,2.08,4.37,52.89,2.68,73.38
Canada,2024,Cancer,Bacterial,2.7,11.15,6.55,301433.0,80.75,4.2,4.75,76.07,1.6,60.28
India,2020,Diabetes,Parasitic,9.29,11.32,9.5,752941.0,64.98,4.49,2.93,86.36,0.03,34.02
France,2020,Hypertension,Metabolic,8.09,11.68,2.92,263322.0,58.12,0.89,1.0,81.82,4.79,20.28
